,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS,CUCB-SW
4168,0.0,0.0,1.0000000000000004,4.09195958091332,1.5123620356542093,4.09195958091332,2.9903891031177166
4169,0.0,0.0,4.4683144803096555,3.4683144803096555,3.4683144803096555,3.4683144803096555,2.299987516743897
4170,0.0,0.0,1.0000000000000004,3.0919595809133202,2.0919595809133202,3.0919595809133202,2.4331303825946877
4171,-1.0000000000000004,0.0,0.0,3.09195958091332,1.512362035654209,3.09195958091332,1.8271039361565937
4172,0.0,0.0,0.0,3.09195958091332,1.579597545259111,3.09195958091332,1.8271039361565937
4173,0.0,0.0,5.468314480309656,8.560274061222977,7.047912025568768,8.560274061222977,1.9372082394899084
4174,0.0,0.0,1.0000000000000004,4.09195958091332,2.5795975452591113,4.09195958091332,2.9903891031177166
4175,0.0,0.0,1.0,2.579597545259111,-1.0,2.579597545259111,2.9903891031177166
4176,0.0,0.0,0.0,0.5795975452591109,0.0,0.5795975452591109,2.4331303825946877
4177,0.0,0.0,1.0000000000000004,4.09195958091332,4.09195958091332,4.09195958091332,2.299987516743897
4178,-1.0000000000000004,0.0,0.0,3.09195958091332,2.09195958091332,2.09195958091332,2.9903891031177166
4179,0.0,0.0,0.0,3.0919595809133202,1.5795975452591113,3.0919595809133202,2.4673514870199797
4180,1.0000000000000018,0.0,5.468314480309656,7.560274061222977,8.560274061222977,7.560274061222977,2.9146804642224224
4181,0.0,0.0,0.0,3.0919595809133202,1.0919595809133202,2.0919595809133202,2.831158978067456
4182,0.0,0.0,1.0000000000000004,4.09195958091332,1.5795975452591113,4.09195958091332,2.831158978067456
4183,0.0,0.0,1.0000000000000004,4.09195958091332,2.5795975452591113,4.09195958091332,1.7779781144396476
4184,-1.0000000000000004,0.0,0.0,2.09195958091332,1.512362035654209,2.09195958091332,1.7779781144396476
4185,-1.0000000000000004,0.0,0.0,3.09195958091332,0.0,3.09195958091332,2.831158978067456
4186,0.0,0.0,1.0000000000000004,3.0919595809133202,3.0919595809133202,3.0919595809133202,2.831158978067456
4187,0.0,0.0,1.0000000000000004,4.09195958091332,2.5795975452591113,4.09195958091332,2.273900257544427
4188,0.0,0.0,1.0000000000000004,4.09195958091332,4.09195958091332,4.09195958091332,1.667873811106333
4189,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,4.09195958091332,4.09195958091332,1.7779781144396476
4190,0.0,0.0,0.0,2.09195958091332,3.09195958091332,2.09195958091332,1.667873811106333
4191,0.0,0.0,1.0,1.512362035654209,2.512362035654209,1.512362035654209,1.3306491372372053
4192,1.0000000000000004,0.0,1.0000000000000004,4.09195958091332,4.09195958091332,4.09195958091332,1.667873811106333
4193,1.0000000000000004,0.0,0.0,2.0919595809133202,3.0919595809133202,2.0919595809133202,2.831158978067456
4194,-1.0000000000000004,0.0,0.0,3.09195958091332,1.579597545259111,3.09195958091332,1.7779781144396476
4195,1.0,0.0,1.0,1.579597545259111,1.579597545259111,1.579597545259111,2.308121361969719
4196,0.0,0.0,1.0,2.512362035654209,0.0,2.512362035654209,2.308121361969719
4197,0.0,0.0,4.468314480309656,6.560274061222977,0.5123620356542098,6.560274061222977,2.9146804642224224
4198,0.0,0.0,1.0000000000000004,3.0919595809133202,0.5795975452591113,3.0919595809133202,3.1451004452457125
4199,0.0,0.0,1.0,2.579597545259111,1.579597545259111,2.579597545259111,3.0615789590907463
4200,0.0,0.0,1.0000000000000004,4.09195958091332,0.5795975452591113,4.09195958091332,3.0615789590907463
4201,0.0,0.0,5.468314480309656,7.560274061222977,4.563251432313406,7.560274061222977,3.0615789590907463
